model,engine_power,transmission,age_in_days,km,previous_owners,lat,lon,price
pop,69,manual,4474,56779,2,45.07107925415039,7.464029788970947,4490
lounge,69,manual,2708,160000,1,45.069679260253906,7.704919815063477,4500
lounge,69,automatic,3470,170000,2,45.51459884643555,9.284339904785156,4500
sport,69,manual,3288,132000,2,41.903221130371094,12.495650291442871,4700
sport,69,manual,3712,124490,2,45.53266143798828,9.038920402526855,4790
lounge,69,manual,3684,91000,1,40.7747802734375,14.591919898986816,4900
lounge,69,automatic,4353,90068,1,41.72669982910156,13.00979995727539,4950
pop,69,manual,4414,69000,2,45.05659866333008,9.701760292053223,5290
lounge,69,automatic,4322,117000,1,45.32979965209961,10.126799583435059,5399
lounge,99,manual,4566,78000,1,45.467960357666016,9.181779861450195,5800
lounge,69,manual,3500,121000,2,45.75735855102539,9.7958402633667,5850
lounge,69,manual,3197,51083,2,45.57122039794922,9.159139633178711,5880
lounge,69,manual,2251,87000,2,45.069679260253906,7.704919815063477,5990
pop,69,manual,3774,79000,1,41.450721740722656,12.625020027160645,6300
lounge,69,manual,4018,101156,1,45.350799560546875,11.466090202331543,6499
pop,69,manual,2922,31350,1,43.78451156616211,10.924659729003906,6500
sport,69,manual,2588,71553,1,41.903221130371094,12.495650291442871,6700
lounge,69,manual,2647,50000,2,43.782371520996094,11.254989624023438,6900
lounge,99,automatic,3592,74903,1,45.62813186645508,9.045459747314453,6900
lounge,69,automatic,2922,87000,2,45.558441162109375,12.234600067138672,6900
lounge,69,manual,2070,114000,1,45.536590576171875,10.232040405273438,7000
lounge,69,manual,1096,61197,2,41.903221130371094,12.495650291442871,7100
lounge,69,manual,1096,62214,2,41.903221130371094,12.495650291442871,7100
lounge,69,manual,2527,48000,1,45.49802017211914,9.673330307006836,7200
lounge,69,manual,2251,73453,4,45.06312942504883,7.5767998695373535,7300
lounge,69,manual,1066,59961,2,41.903221130371094,12.495650291442871,7480
lounge,69,manual,1066,59961,2,45.57122039794922,9.159139633178711,7480
sport,69,manual,2739,77149,3,44.75489044189453,8.031900405883789,7800
lounge,69,manual,1096,57000,2,45.467960357666016,9.181779861450195,7900
lounge,69,manual,762,16000,1,40.84014129638672,14.252260208129883,7990
pop,69,manual,1096,27200,1,44.92013931274414,7.844590187072754,7990
lounge,69,manual,1886,55000,1,45.666358947753906,12.241889953613281,8000
lounge,69,manual,1431,54600,2,40.835811614990234,14.504409790039062,8000
lounge,69,manual,578,28000,1,41.903221130371094,12.495650291442871,8299
lounge,69,manual,609,25000,1,41.903221130371094,12.495650291442871,8299
lounge,69,manual,578,19000,1,41.903221130371094,12.495650291442871,8299
pop,69,manual,1521,37500,1,45.53200149536133,9.281530380249023,8490
lounge,69,manual,762,36993,2,41.903221130371094,12.495650291442871,8980
lounge,69,manual,762,36112,2,41.8029899597168,12.598930358886719,8980
lounge,69,manual,762,36993,2,45.57122039794922,9.159139633178711,8980
lounge,69,manual,425,14000,1,41.903221130371094,12.495650291442871,9200
lounge,69,manual,397,16000,1,41.903221130371094,12.495650291442871,9200
pop,69,manual,1127,21365,2,45.61869812011719,8.947460174560547,9300
lounge,69,manual,640,22100,2,45.19940948486328,7.774429798126221,9390
pop,69,manual,366,12929,2,45.556549072265625,9.534469604492188,9400
lounge,69,manual,397,16755,1,45.15171813964844,7.655439853668213,9490
lounge,69,manual,397,16755,1,45.4656982421875,10.720359802246094,9490
lounge,69,manual,456,13215,1,45.53266143798828,9.038920402526855,9490
lounge,69,manual,1370,27512,1,45.62984848022461,9.155119895935059,9490
lounge,69,manual,456,15000,1,40.92258834838867,14.228730201721191,9499
lounge,69,manual,456,15000,1,40.84014129638672,14.252260208129883,9499
lounge,69,manual,456,11998,1,45.4656982421875,10.720359802246094,9590
lounge,69,manual,456,11998,1,44.55339050292969,11.447990417480469,9590
lounge,69,manual,456,11998,1,45.15171813964844,7.655439853668213,9590
lounge,69,manual,790,39528,2,41.903221130371094,12.495650291442871,9600
lounge,69,manual,183,29826,2,45.57122039794922,9.159139633178711,9680
lounge,69,manual,397,12917,1,45.53266143798828,9.038920402526855,9690
lounge,69,manual,456,20941,1,41.903221130371094,12.495650291442871,9700
lounge,69,manual,456,20941,1,45.15171813964844,7.655439853668213,9700
lounge,69,manual,456,20941,1,45.4656982421875,10.720359802246094,9700
sport,69,manual,701,39162,2,45.57122039794922,9.159139633178711,9780
lounge,69,manual,790,19133,1,45.74602127075195,9.049969673156738,9850
lounge,69,manual,456,11511,2,45.436100006103516,8.887869834899902,9890
lounge,69,manual,456,15344,2,45.436100006103516,8.887869834899902,9890
lounge,69,manual,456,17253,2,45.436100006103516,8.887869834899902,9890
lounge,69,manual,548,22609,1,45.695831298828125,9.180390357971191,9900
lounge,69,manual,640,18000,1,41.903221130371094,12.495650291442871,9900
lounge,69,manual,244,14000,2,45.697208404541016,9.845970153808594,9900
lounge,69,manual,762,22020,2,46.07004928588867,11.11925983428955,9900
lounge,69,manual,397,9700,1,45.35152816772461,10.844090461730957,9950
lounge,69,manual,701,17324,2,45.556549072265625,9.534469604492188,9950
pop,69,manual,152,56779,2,44.402618408203125,11.249279975891113,9950
pop,69,manual,152,56779,2,44.15834045410156,10.975560188293457,9950
lounge,69,manual,397,16100,1,41.903221130371094,12.495650291442871,9970
pop,69,manual,397,15000,1,41.903221130371094,12.495650291442871,9970
lounge,69,manual,275,16111,2,45.57122039794922,9.159139633178711,9980
lounge,69,manual,731,12000,2,45.02238845825195,7.586019992828369,9980
lounge,69,manual,397,18324,2,45.436100006103516,8.887869834899902,9990
sport,69,manual,701,56779,2,41.903221130371094,12.495650291442871,10180
lounge,69,manual,487,56779,1,45.40943908691406,11.871709823608398,10500
lounge,69,manual,456,18253,2,45.39360046386719,10.482239723205566,10900
lounge,69,manual,456,21907,2,45.39360046386719,10.482239723205566,10900
pop,69,manual,91,56779,1,44.402618408203125,11.249279975891113,10950
star,69,manual,275,7900,1,45.35152816772461,10.844090461730957,10990
pop,69,manual,397,8700,1,45.35152816772461,10.844090461730957,10990
pop,69,manual,670,9000,2,44.988739013671875,9.010499954223633,11090
pop,69,manual,640,24300,1,45.3125,10.008020401000977,11200
